id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
592914921857097651,Cheerful Apt with 2 BED ROOMS in heart of Queens,76894670,Sadequl,Queens,East Elmhurst,40.75761,-73.8986,Private room,136,2,51,2024-01-02,2.50,1,362,26,OSE-STRREG-0000174
15338155,BEAUTIFUL BEDROOM IN COZY APARTMENT,22534244,Jose,Queens,Woodside,40.74747,-73.89584,Private room,93,30,83,2023-08-28,0.92,1,364,5,
12592427,Lovely apartment as home,68309691,Cindy,Queens,Flushing,40.72838,-73.80162,Private room,99,30,306,2023-11-21,3.22,1,279,8,
995023832490126330,Apartment in Woodside. good area.,204704622,Momoyo,Queens,Woodside,40.74063,-73.89442,Private room,38,30,0,,,235,55,0,
540057,Stylish Uptown Westside Apt.,2653648,Kareem,Manhattan,Harlem,40.82335,-73.95322,Entire home/apt,199,30,269,2023-12-03,1.89,1,0,38,
30006770,"Blueground | FiDi, luxury building",107434423,Blueground,Manhattan,Financial District,40.704693,-74.0075,Entire home/apt,231,31,0,,,842,215,0,
1097115533565069953,‘Furiously fast’ free WiFi and ADA features,563245673,Radio Hotel,Manhattan,Washington Heights,40.8479205,-73.9312978,Private room,175,1,0,,,7,0,0,Exempt
18197946,Beautiful apt with view of GW Bridge and river,10127519,Horatio,Manhattan,Washington Heights,40.84791,-73.94004,Private room,45,30,6,2018-05-31,0.07,1,69,0,
950150663573223073,Studio apartment on Wall Street,504021889,Kamil,Manhattan,Financial District,40.7049014,-74.00724439999999,Entire home/apt,211,30,1,2023-10-09,0.20,1,270,1,
50748839,Lovely and renovated  apt located near jfk airport,355586252,Claudia,Queens,Kew Gardens,40.70692,-73.83618,Private room,,30,1,2021-11-28,0.04,1,0,0,
51412408,Flushing/Elmhurst BR#4,295247374,Rafael,Queens,East Elmhurst,40.76124,-73.86912,Private room,46,30,41,2023-11-12,1.30,7,180,17,
5106041,I love Brooklyn private 1-br apartment,4265630,NowRa,Brooklyn,Flatbush,40.64802,-73.95608,Entire home/apt,63,30,71,2024-02-20,0.65,3,282,5,
945869533082985700,New bedroom close to Time Square private bath 3A,517568992,Jing,Manhattan,Hell's Kitchen,40.76098,-73.99274,Private room,300,30,3,2023-09-21,0.48,9,128,3,
897096495164150615,The Rosella Room at the Grand Old Mansion,187908347,William,Brooklyn,Crown Heights,40.674393565683964,-73.9485759072428,Entire home/apt,70,30,20,2023-11-20,2.20,5,36,20,
762771372362453042,Queens - Locals' favorite neighbor for living,19303369,Hiroki,Queens,Woodside,40.74657,-73.89295,Private room,39,30,2,2023-10-01,0.21,273,37,2,
734156537825541556,Serviced Apartment - Brand-New Luxury Suite & WiFi,28260018,Bp Stays.,Manhattan,East Harlem,40.79976,-73.93536,Private room,54,30,39,2023-12-03,2.30,23,335,25,
999687207850619090,Room in 3BR/2BA 5mins to Jackson Hts–Roosevelt Ave,501499086,CrossOver,Queens,Elmhurst,40.74540940683062,-73.8895888394507,Private room,101,30,0,,,166,270,0,
31539511,Great private space with private entrance,235763046,Yvonne,Queens,Rosedale,40.66842,-73.73327,Private room,100,30,237,2024-01-16,3.81,1,314,44,
994487707069650877,sunshine suit,273393112,Uri,Brooklyn,Midwood,40.6126914170067,-73.95681878283423,Entire home/apt,195,30,0,,,2,89,0,
649265769107676530,FiDi Studio w/ Office by Anyplace - 11433,415840703,Anyplace,Manhattan,Financial District,40.70345,-74.00954,Entire home/apt,160,30,4,2023-06-03,0.23,35,101,1,
678987385312381897,Serene garden level in historic Brownstone w/patio,1639979,Neil,Brooklyn,Carroll Gardens,40.67978,-73.9998,Entire home/apt,200,30,15,2024-01-13,0.77,1,73,9,
734203515986674737,Serviced Apartment - New Executive Suite Workspace,28260018,Bp Stays.,Manhattan,East Harlem,40.79911,-73.93343,Private room,63,30,50,2023-12-02,2.95,23,157,31,
595433752535380451,Soul Food (Mont Morris) - large suite,68296534,Georgia,Manhattan,Harlem,40.803072133297626,-73.94737268885565,Private room,134,1,2,2024-02-17,1.87,2,275,2,OSE-STRREG-0001256
1031164527894756854,Everything You Need For The Perfect Vacation!,496932087,Reservations,Manhattan,Midtown,40.76573718478993,-73.9764689604215,Private room,940,1,1,2024-03-05,1,279,272,1,Exempt
1028197490499964415,Stylish Downtown Loft Apartment,429701112,Taylor,Manhattan,Financial District,40.70506853155255,-74.0092610193221,Entire home/apt,392,5,0,,,4,68,0,Exempt
1038665958636533760,Wall Street Oasis | Huge | Sun-Drenched | Downtown,130289593,Ted,Manhattan,Financial District,40.70408,-74.01143,Entire home/apt,400,30,0,,,17,177,0,
45224033,"Large room with Sofa, easy access to Manhattan",200239515,Shogo,Queens,Woodside,40.74132,-73.89567,Private room,37,30,1,2022-07-31,0.05,254,53,0,
832601854655158946,Private room in heart of Elmhurst-1min to Subway,10621098,Eliana,Queens,Elmhurst,40.74689081575749,-73.8910165595134,Private room,84,30,0,,,3,270,0,
641753911937668445,Newly renovated home with beautiful backyard,51438025,Jon,Brooklyn,Kensington,40.63719,-73.97412,Entire home/apt,149,30,1,2023-01-01,0.07,1,104,0,
29943455,Cozy and Nice room in Queens! good subway access!,200239515,Shogo,Queens,Woodside,40.7447,-73.89453,Private room,34,30,3,2019-06-01,0.05,254,55,0,
8621133,✪ Comfortable 3 Bed & 2 BR ✪ Friends & Family ✪,41420696,Tatiana,Manhattan,Lower East Side,40.71886207252679,-73.98987330711806,Entire home/apt,237,4,198,2024-02-08,2.14,2,218,16,Exempt
825968755994219686,69-5C Brand New 1BR Lower East Side,162280872,Urban Furnished,Manhattan,Lower East Side,40.7193634,-73.985112,Entire home/apt,115,30,5,2023-12-03,0.49,250,195,5,
